,Year,Police Region,Local Government Area,Total Population
151,2013,2 Eastern,Whitehorse,162080
152,2013,1 North West Metro,Whittlesea,179271
153,2013,2 Eastern,Wodonga,37574
154,2013,1 North West Metro,Wyndham,190210
155,2013,1 North West Metro,Yarra,83961
156,2013,2 Eastern,Yarra Ranges,150901
157,2013,4 Western,Yarriambiack,7031
158,2014,2 Eastern,Alpine,12354
159,2014,4 Western,Ararat,11559
160,2014,4 Western,Ballarat,99913
161,2014,1 North West Metro,Banyule,125106
162,2014,2 Eastern,Bass Coast,31916
163,2014,2 Eastern,Baw Baw,46643
164,2014,3 Southern Metro,Bayside,99796
165,2014,2 Eastern,Benalla,13897
166,2014,2 Eastern,Boroondara,172659
167,2014,1 North West Metro,Brimbank,198467
168,2014,4 Western,Buloke,6334
169,2014,4 Western,Campaspe,37337
170,2014,3 Southern Metro,Cardinia,88069
171,2014,3 Southern Metro,Casey,287936
172,2014,4 Western,Central Goldfields,12883
173,2014,4 Western,Colac-Otway,21130
174,2014,4 Western,Corangamite,16339
175,2014,1 North West Metro,Darebin,149510
176,2014,2 Eastern,East Gippsland,44276
177,2014,3 Southern Metro,Frankston,136180
178,2014,4 Western,Gannawarra,10533
179,2014,3 Southern Metro,Glen Eira,143693
180,2014,4 Western,Glenelg,19754
181,2014,4 Western,Golden Plains,20898
182,2014,4 Western,Greater Bendigo,107954
183,2014,3 Southern Metro,Greater Dandenong,152134
184,2014,4 Western,Greater Geelong,227743
185,2014,2 Eastern,Greater Shepparton,63918
186,2014,4 Western,Hepburn,15183
187,2014,4 Western,Hindmarsh,5843
188,2014,1 North West Metro,Hobsons Bay,90416
189,2014,4 Western,Horsham,19747
190,2014,1 North West Metro,Hume,191277
191,2014,2 Eastern,Indigo,15731
192,2014,3 Southern Metro,Kingston,154209
193,2014,2 Eastern,Knox,157433
194,2014,2 Eastern,Latrobe,74133
195,2014,4 Western,Loddon,7512
196,2014,4 Western,Macedon Ranges,45470
197,2014,2 Eastern,Manningham,119436
198,2014,2 Eastern,Mansfield,8394
199,2014,1 North West Metro,Maribyrnong,82462
200,2014,2 Eastern,Maroondah,111420
201,2014,1 North West Metro,Melbourne,127974
202,2014,1 North West Metro,Melton,129308
203,2014,4 Western,Mildura,53736
204,2014,2 Eastern,Mitchell,39083
205,2014,2 Eastern,Moira,29099
206,2014,2 Eastern,Monash,186149
207,2014,1 North West Metro,Moonee Valley,117762
208,2014,4 Western,Moorabool,31065
209,2014,1 North West Metro,Moreland,164098
210,2014,3 Southern Metro,Mornington Peninsula,156499
211,2014,4 Western,Mount Alexander,18500
212,2014,4 Western,Moyne,16511
213,2014,2 Eastern,Murrindindi,13686
214,2014,1 North West Metro,Nillumbik,63432
215,2014,4 Western,Northern Grampians,11776
216,2014,3 Southern Metro,Port Phillip,104450
217,2014,4 Western,Pyrenees,7046
218,2014,4 Western,Queenscliffe,2970
219,2014,2 Eastern,South Gippsland,28520
220,2014,4 Western,Southern Grampians,16254
221,2014,3 Southern Metro,Stonnington,105893
222,2014,2 Eastern,Strathbogie,10017
223,2014,4 Western,Surf Coast,28873
224,2014,4 Western,Swan Hill,20939
225,2014,2 Eastern,Towong,5981
226,2014,2 Eastern,Wangaratta,27861
227,2014,4 Western,Warrnambool,33728
228,2014,2 Eastern,Wellington,42947
229,2014,4 Western,West Wimmera,4037
230,2014,2 Eastern,Whitehorse,164319
231,2014,1 North West Metro,Whittlesea,187898
232,2014,2 Eastern,Wodonga,38368
233,2014,1 North West Metro,Wyndham,201511
234,2014,1 North West Metro,Yarra,87227
235,2014,2 Eastern,Yarra Ranges,151967
236,2014,4 Western,Yarriambiack,6923
237,2015,2 Eastern,Alpine,12428
238,2015,4 Western,Ararat,11643
239,2015,4 Western,Ballarat,101478
240,2015,1 North West Metro,Banyule,126087
241,2015,2 Eastern,Bass Coast,32575
242,2015,2 Eastern,Baw Baw,47836
243,2015,3 Southern Metro,Bayside,101267
244,2015,2 Eastern,Benalla,13922
245,2015,2 Eastern,Boroondara,174752
246,2015,1 North West Metro,Brimbank,200859
247,2015,4 Western,Buloke,6305
248,2015,4 Western,Campaspe,37428
249,2015,3 Southern Metro,Cardinia,92297
250,2015,3 Southern Metro,Casey,299527
251,2015,4 Western,Central Goldfields,12949
252,2015,4 Western,Colac-Otway,21229
253,2015,4 Western,Corangamite,16273
254,2015,1 North West Metro,Darebin,151973
255,2015,2 Eastern,East Gippsland,44867
256,2015,3 Southern Metro,Frankston,137789
257,2015,4 Western,Gannawarra,10535
258,2015,3 Southern Metro,Glen Eira,145923
259,2015,4 Western,Glenelg,19721
260,2015,4 Western,Golden Plains,21387
