,Year,Police Region,Local Government Area,Total Population
660,2020,4 Western,Hepburn,16156
661,2020,4 Western,Hindmarsh,5591
662,2020,1 North West Metro,Hobsons Bay,98188
663,2020,4 Western,Horsham,20017
664,2020,1 North West Metro,Hume,241187
665,2020,2 Eastern,Indigo,16884
666,2020,3 Southern Metro,Kingston,167292
667,2020,2 Eastern,Knox,165146
668,2020,2 Eastern,Latrobe,75914
669,2020,4 Western,Loddon,7472
670,2020,4 Western,Macedon Ranges,50970
671,2020,2 Eastern,Manningham,128928
672,2020,2 Eastern,Mansfield,9473
673,2020,1 North West Metro,Maribyrnong,94981
674,2020,2 Eastern,Maroondah,119400
675,2020,1 North West Metro,Melbourne,183755
676,2020,1 North West Metro,Melton,172499
677,2020,4 Western,Mildura,55936
678,2020,2 Eastern,Mitchell,47646
679,2020,2 Eastern,Moira,30017
680,2020,2 Eastern,Monash,204935
681,2020,1 North West Metro,Moonee Valley,131752
682,2020,4 Western,Moorabool,36012
683,2020,1 North West Metro,Moreland,188761
684,2020,3 Southern Metro,Mornington Peninsula,168861
685,2020,4 Western,Mount Alexander,20000
686,2020,4 Western,Moyne,17026
687,2020,2 Eastern,Murrindindi,14660
688,2020,1 North West Metro,Nillumbik,65218
689,2020,4 Western,Northern Grampians,11402
690,2020,3 Southern Metro,Port Phillip,116475
691,2020,4 Western,Pyrenees,7554
692,2020,4 Western,Queenscliffe,3007
693,2020,2 Eastern,South Gippsland,30247
694,2020,4 Western,Southern Grampians,16133
695,2020,3 Southern Metro,Stonnington,118613
696,2020,2 Eastern,Strathbogie,10991
697,2020,4 Western,Surf Coast,34770
698,2020,4 Western,Swan Hill,20533
699,2020,2 Eastern,Towong,6101
700,2020,2 Eastern,Wangaratta,29196
701,2020,4 Western,Warrnambool,35532
702,2020,2 Eastern,Wellington,44769
703,2020,4 Western,West Wimmera,3809
704,2020,2 Eastern,Whitehorse,180734
705,2020,1 North West Metro,Whittlesea,236538
706,2020,2 Eastern,Wodonga,42661
707,2020,1 North West Metro,Wyndham,283293
708,2020,1 North West Metro,Yarra,103124
709,2020,2 Eastern,Yarra Ranges,159954
710,2020,4 Western,Yarriambiack,6587
711,2021,2 Eastern,Alpine,13098
712,2021,4 Western,Ararat,12004
713,2021,4 Western,Ballarat,113350
714,2021,1 North West Metro,Banyule,131437
715,2021,2 Eastern,Bass Coast,38586
716,2021,2 Eastern,Baw Baw,56217
717,2021,3 Southern Metro,Bayside,106919
718,2021,2 Eastern,Benalla,14220
719,2021,2 Eastern,Boroondara,178101
720,2021,1 North West Metro,Brimbank,202841
721,2021,4 Western,Buloke,6028
722,2021,4 Western,Campaspe,37612
723,2021,3 Southern Metro,Cardinia,118392
724,2021,3 Southern Metro,Casey,369441
725,2021,4 Western,Central Goldfields,13053
726,2021,4 Western,Colac-Otway,21625
727,2021,4 Western,Corangamite,15714
728,2021,1 North West Metro,Darebin,164879
729,2021,2 Eastern,East Gippsland,48170
730,2021,3 Southern Metro,Frankston,143051
731,2021,4 Western,Gannawarra,10321
732,2021,3 Southern Metro,Glen Eira,155888
733,2021,4 Western,Glenelg,19552
734,2021,4 Western,Golden Plains,24738
735,2021,4 Western,Greater Bendigo,121959
736,2021,3 Southern Metro,Greater Dandenong,164349
737,2021,4 Western,Greater Geelong,270978
738,2021,2 Eastern,Greater Shepparton,67287
739,2021,4 Western,Hepburn,16185
740,2021,4 Western,Hindmarsh,5517
741,2021,1 North West Metro,Hobsons Bay,97353
742,2021,4 Western,Horsham,19964
743,2021,1 North West Metro,Hume,245563
744,2021,2 Eastern,Indigo,17118
745,2021,3 Southern Metro,Kingston,165927
746,2021,2 Eastern,Knox,164301
747,2021,2 Eastern,Latrobe,76257
748,2021,4 Western,Loddon,7474
749,2021,4 Western,Macedon Ranges,51652
750,2021,2 Eastern,Manningham,127427
751,2021,2 Eastern,Mansfield,9586
752,2021,1 North West Metro,Maribyrnong,93924
753,2021,2 Eastern,Maroondah,118872
754,2021,1 North West Metro,Melbourne,167476
755,2021,1 North West Metro,Melton,179818
756,2021,4 Western,Mildura,55754
757,2021,2 Eastern,Mitchell,48537
758,2021,2 Eastern,Moira,29961
759,2021,2 Eastern,Monash,198296
760,2021,1 North West Metro,Moonee Valley,130790
761,2021,4 Western,Moorabool,36815
762,2021,1 North West Metro,Moreland,187013
763,2021,3 Southern Metro,Mornington Peninsula,169512
764,2021,4 Western,Mount Alexander,20145
765,2021,4 Western,Moyne,16996
766,2021,2 Eastern,Murrindindi,14922
767,2021,1 North West Metro,Nillumbik,64864
768,2021,4 Western,Northern Grampians,11273
769,2021,3 Southern Metro,Port Phillip,113416
770,2021,4 Western,Pyrenees,7562
771,2021,4 Western,Queenscliffe,3018
772,2021,2 Eastern,South Gippsland,30535
773,2021,4 Western,Southern Grampians,16041
774,2021,3 Southern Metro,Stonnington,115455
775,2021,2 Eastern,Strathbogie,11069
776,2021,4 Western,Surf Coast,35870
777,2021,4 Western,Swan Hill,20381
778,2021,2 Eastern,Towong,6140
779,2021,2 Eastern,Wangaratta,29201
780,2021,4 Western,Warrnambool,35531
781,2021,2 Eastern,Wellington,45132
782,2021,4 Western,West Wimmera,3769
783,2021,2 Eastern,Whitehorse,177227
784,2021,1 North West Metro,Whittlesea,238072
785,2021,2 Eastern,Wodonga,43147
786,2021,1 North West Metro,Wyndham,290654
787,2021,1 North West Metro,Yarra,100852
788,2021,2 Eastern,Yarra Ranges,159102
789,2021,4 Western,Yarriambiack,6445
