Year,Police Region,Local Government Area
2012,4 Western,Moyne
2012,4 Western,Northern Grampians
2012,4 Western,Pyrenees
2012,4 Western,Queenscliffe
2012,4 Western,Southern Grampians
2012,4 Western,Surf Coast
2012,4 Western,Swan Hill
2012,4 Western,Warrnambool
2012,4 Western,West Wimmera
2012,4 Western,Yarriambiack
2012,4 Western,Total
2012,Justice Institutions and Immigration Facilities,Justice Institutions and Immigration Facilities
2012,Justice Institutions and Immigration Facilities,Total
2012,Unincorporated Vic,Unincorporated Vic
2012,Unincorporated Vic,Total
