PFI,FEATURE_ID,PARENT_FEA,FEATURE_TY,FEATURE_SU,FEATURE_ST,NAME,NAME_LABEL,PARENT_NAM,CHILD_EXIS,AUTH_ORG_C,AUTH_ORG_I,AUTH_ORG_V,VMADD_PFI,VICNAMES_I,VICNAMES_S,THEME1,THEME2,STATE,CREATE_DAT,SUPERCEDED,CREATE_DA0,OBJECTID
612034,612034,764426,emergency facility,police station,,WALLAN POLICE STATION,Wallan Police Station,HADFIELD PARK,,107,EWA,"""2021-04-20T00:00:00.000Z""",53865103,28317,10,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1888196
612054,612054,,emergency facility,police station,,WALWA POLICE STATION,Walwa Police Station,,,107,EWW,"""2021-04-20T00:00:00.000Z""",54367323,28381,10,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1888197
685753,685753,,emergency facility,police station,,BOX HILL POLICE STATION,Box Hill Police Station,,,107,EBH,"""2021-04-20T00:00:00.000Z""",5187,3198,10,,,VIC,"""2010-05-03T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1888222
612091,612091,,emergency facility,police station,,WANGARATTA POLICE STATION,Wangaratta Police Station,,,107,EWT,"""2021-04-20T00:00:00.000Z""",53864295,28444,10,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1888198
612125,612125,,emergency facility,police station,,WARBURTON POLICE STATION,Warburton Police Station,,,107,EWR,"""2021-04-20T00:00:00.000Z""",210748347,-1384123,11,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1888199
612171,612171,,emergency facility,police station,,WARRANDYTE POLICE STATION,Warrandyte Police Station,,,107,EWY,"""2021-04-20T00:00:00.000Z""",53656695,28616,10,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1888201
765066,765066,,emergency facility,police station,,BAYSIDE POLICE STATION,Bayside Police Station,,,107,SBY,"""2021-04-20T00:00:00.000Z""",53632853,-1384109,11,,,VIC,"""2010-09-16T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1888224
765068,765068,,emergency facility,police station,,CARRUM DOWNS POLICE STATION,Carrum Downs Police Station,,,107,SCD,"""2021-04-20T00:00:00.000Z""",420172914,-1384132,11,,,VIC,"""2010-09-16T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1888225
612199,612199,,emergency facility,police station,,WARRNAMBOOL POLICE STATION,Warrnambool Police Station,,,107,WWR,"""2021-04-20T00:00:00.000Z""",53161362,28680,10,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1888202
995657,995657,,emergency facility,police station,,BALLARAT NORTH POLICE STATION,Ballarat North Police Station,,,107,WNB,"""2021-04-20T00:00:00.000Z""",54724869,-1384125,11,,,VIC,"""2013-10-04T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1888235
1003958,1003958,,emergency facility,police station,,WAURN PONDS POLICE STATION,Waurn Ponds Police Station,,,107,WWP,"""2021-04-20T00:00:00.000Z""",422952573,-1400575,11,,,VIC,"""2014-10-13T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1888237
765073,765073,70113,emergency facility,police station,,LOCH SPORT POLICE STATION,Loch Sport Police Station,CHARLES STREET RESERVE,,107,ELS,"""2021-04-20T00:00:00.000Z""",134478303,-1384131,11,,,VIC,"""2010-09-16T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1888227
1138304,1138304,647769,emergency facility,police station,,FOREST HILL POLICE STATION,Forest Hill Police Station,,,107,EFH,"""2021-04-20T00:00:00.000Z""",423754097,-1675235,11,,,VIC,"""2016-06-16T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1888238
765075,765075,75333,emergency facility,police station,,MARYSVILLE POLICE STATION,Marysville Police Station,GALLIPOLI PARK,,107,EMV,"""2021-04-20T00:00:00.000Z""",221346329,16302,10,,,VIC,"""2010-09-16T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1888228
1138305,1138305,,emergency facility,police station,,SOUTHBANK POLICE STATION,Southbank Police Station,,,107,NSO,"""2021-04-20T00:00:00.000Z""",219059702,-1675236,11,,,VIC,"""2016-06-16T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1888239
1142654,1142654,,emergency facility,police station,,BALLARAT WEST POLICE STATION,Ballarat West Police Station,,,107,WBW,"""2021-04-20T00:00:00.000Z""",420744450,-1684223,11,,,VIC,"""2016-10-13T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1888240
765077,765077,,emergency facility,police station,,MELBOURNE NORTH POLICE STATION,Melbourne North Police Station,,,107,NMN,"""2021-04-20T00:00:00.000Z""",207501232,-1384102,11,,,VIC,"""2010-09-16T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1888230
1180175,1180175,,emergency facility,police station,,MERNDA POLICE STATION,Mernda Police Station,,,107,NDA,"""2021-04-20T00:00:00.000Z""",422844701,-1765570,11,,,VIC,"""2018-05-14T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1888241
765080,765080,,emergency facility,police station,,POLICE AIRWING POLICE STATION,Police Airwing Police Station,,,107,,"""2021-04-20T00:00:00.000Z""",432356276,-1384116,11,,,VIC,"""2010-09-16T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1888232
765086,765086,,emergency facility,police station,,WYNDHAM NORTH POLICE STATION,Wyndham North Police Station,,,107,NWM,"""2021-04-20T00:00:00.000Z""",212449928,-1384133,11,,,VIC,"""2010-09-16T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1888233
1256095,1256095,,emergency facility,police station,,ALTONA POLICE STATION,Altona Police Station,,,107,NAL,"""2021-04-20T00:00:00.000Z""",432379509,-1926270,11,,,VIC,"""2020-06-15T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1888242
612152,612152,,emergency facility,police station,,WARRAGUL POLICE STATION,Warragul Police Station,,,107,EWG,"""2021-04-20T00:00:00.000Z""",51411335,28591,10,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1888243
612626,612626,,emergency facility,police station,,WODONGA POLICE STATION,Wodonga Police Station,,,107,EWO,"""2021-04-20T00:00:00.000Z""",134178653,29791,10,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1888244
995659,995659,,emergency facility,police station,,WATER POLICE/SEARCH AND RESCUE POLICE STATION,Water Police/Search And Rescue Police Station,,,107,,"""2021-04-20T00:00:00.000Z""",219009984,-1384135,11,,,VIC,"""2013-10-04T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1888248
995660,995660,,emergency facility,police station,,MELBOURNE AIRPORT POLICE STATION,Melbourne Airport Police Station,,,107,NMA,"""2021-04-20T00:00:00.000Z""",423818792,-1384114,11,,,VIC,"""2013-10-04T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1888249
140522,140522,,emergency facility,police station,,MELBOURNE WEST POLICE STATION,Melbourne West Police Station,,,107,NMW,"""2021-04-20T00:00:00.000Z""",422027062,-1384113,11,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1888253
140939,140939,,emergency facility,police station,,MORWELL POLICE STATION,Morwell Police Station,,,107,EML,"""2021-04-20T00:00:00.000Z""",134154247,17814,10,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1888254
135054,135054,,emergency facility,police station,,BAIRNSDALE POLICE STATION,Bairnsdale Police Station,,,107,EBL,"""2021-04-20T00:00:00.000Z""",54340035,897,10,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1888255
135732,135732,,emergency facility,police station,,BORONIA POLICE STATION,Boronia Police Station,,,107,EBO,"""2021-04-20T00:00:00.000Z""",50363438,3040,10,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-04-22T00:00:00.000Z""",1888256
139806,139806,,emergency facility,police station,,LANDSBOROUGH POLICE STATION,Landsborough Police Station,,,107,WLD,"""2021-04-20T00:00:00.000Z""",,14579,10,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-11-02T00:00:00.000Z""",1954094
139945,139945,,emergency facility,police station,,LEXTON POLICE STATION,Lexton Police Station,,,107,WLX,"""2021-04-20T00:00:00.000Z""",,14909,10,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-11-02T00:00:00.000Z""",1954095
612141,612141,,emergency facility,police station,,WARRACKNABEAL POLICE STATION,Warracknabeal Police Station,,,107,WWK,"""2021-04-20T00:00:00.000Z""",,28575,10,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-11-02T00:00:00.000Z""",1954098
140025,140025,,emergency facility,police station,,LOCH POLICE STATION,Loch Police Station,,,107,ELC,"""2021-04-20T00:00:00.000Z""",134164533,15308,10,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-05-25T00:00:00.000Z""",1901094
140244,140244,,emergency facility,police station,,MALDON POLICE STATION,Maldon Police Station,,,107,WMD,"""2021-04-20T00:00:00.000Z""",53874840,16004,10,,,VIC,"""2009-05-21T00:00:00.000Z""",,"""2021-05-25T00:00:00.000Z""",1901095
